date,capital
2013-03-06,417830.24745705654
2013-03-13,418879.9991052309
2013-03-20,416294.5103719047
2013-03-26,421575.92813963717
2013-04-03,427209.6938992783
2013-04-10,432623.46254301
2013-04-17,430101.9696723536
2013-05-15,433162.55725508835
2013-05-22,434865.30893819814
2013-06-19,440530.4984441848
2013-08-07,436003.06718627183
2013-10-30,437583.4357933579
2013-11-06,440379.6706098885
2013-11-13,437511.1924191561
2013-11-20,441363.70516222494
2013-11-27,445808.7915984993
2014-01-01,452133.7729366182
2014-01-08,458209.32213152223
2014-01-15,452947.4194359705
2014-01-22,454253.0617155064
2014-01-29,452250.4547008653
2014-02-05,454521.0188247899
2014-02-12,459868.8701883318
2014-02-19,460052.5312744429
2014-02-25,460777.8184385949
2014-03-05,465134.114222515
2014-03-12,469992.16155285365
2014-03-19,476245.91821069433
2014-03-26,475626.7571138754
2014-04-02,479027.5090830358
2014-04-09,482594.61285684333
2014-04-16,479961.0600295481
2014-04-22,478570.1341341167
2014-04-29,476794.46051710076
2014-05-07,480404.9106772666
2014-09-10,486026.12832500547
2014-09-16,475126.674866352
2014-09-24,477077.7223590327
2014-11-19,483587.78951183707
2014-11-26,487994.97095015406
2014-12-03,491804.80967075645
2014-12-09,475052.30660345074
2014-12-17,471543.7883134085
2015-07-15,468167.56438220985
2015-11-10,463141.74256100896
2015-11-18,468353.3868000986
2015-12-16,466876.90072734747
2016-08-03,467775.4879102632
2016-08-10,468440.6099199344
2016-08-24,475128.69889491895
2016-08-30,469248.3350759304
2016-11-09,474944.3147369222
2017-01-11,474668.7216953418
2017-01-18,480743.18349186826
2017-01-24,486407.07417236123
2017-02-01,489303.8338597639
2017-02-15,492979.19680385524
2017-02-22,493746.553326663
2017-03-01,500635.66799613024
2017-03-08,512038.6638541265
2017-03-15,505870.97130500455
2017-03-22,505717.9364691741
2017-03-29,510233.1816429982
2017-04-12,516039.9916625588
2017-04-19,520707.28316371964
2017-04-25,505571.4117950406
2017-05-03,516190.706764558
2017-05-10,515876.40619695775
2017-05-17,514347.2088814225
2017-05-24,516321.23982479994
2017-05-31,522441.640065212
2017-06-07,528698.6729852881
2017-06-14,534103.9218940435
2017-06-21,543444.5206887138
2017-06-28,537722.966653899
2017-07-12,526710.9033047876
2017-07-19,537154.9479993867
2017-07-26,536636.6583398558
2017-08-02,540398.8478585703
2017-08-09,537403.8949024339
2017-09-20,543099.9512011966
2017-11-08,539983.2937418409
2017-11-15,536097.6186912945
2017-11-29,541480.8427691992
2018-01-17,543652.2875076714
2018-01-23,531893.5700962665
2018-01-31,545583.0097497028
2018-05-09,544115.7847114701
2018-05-16,550811.5195913796
2018-05-23,544137.209320002
2018-08-01,549567.4191807746
2018-08-14,555939.8490617664
2019-11-27,550993.1548592562
2021-06-23,555964.073508732
2021-06-30,558051.4892164588
2021-07-07,559354.9666786036
2021-07-14,552457.6255526673
2021-07-21,559180.5507157762
2022-12-14,563984.2559125777
2023-05-03,565837.1125727566
2023-06-07,572953.7404518572
2023-06-14,577886.8829291295
2023-06-21,585026.9620480868
2023-06-27,577339.7418583739
2023-07-05,576348.3791060913
2023-08-30,583662.7040503146
2023-09-06,582435.0378020352
2023-09-13,586902.6737365625
2023-09-20,568639.1661946627
2023-11-08,580427.2222342992
2024-07-24,588928.4450171576
2025-07-23,599710.3274463748
2025-07-30,607133.766917398
2025-11-02,605808.6478866311
