sell_date,buy_date,expiry_date,S_sell,S_buy,strike,rv21_sell,rv21_buy,prem_sell_pts,prem_buy_pts,pnl_pts,pnl_pct,abs_underlying_move_pct
2014-07-01,2014-07-09,2014-07-10,7634.7,7585.0,7650,0.12960039471239987,0.14228570683641037,131.61452560784755,76.26332519845982,55.35120040938773,0.00724995093577845,-0.650975152920219
2014-07-08,2014-07-16,2014-07-17,7623.2,7624.4,7600,0.14131690783515546,0.14591095132112444,145.77189871607152,59.69131836147062,86.0805803546009,0.011291922074011033,0.015741420925596827
2014-07-15,2014-07-23,2014-07-24,7526.65,7795.75,7550,0.14595649185824894,0.13976930831196646,146.44158359673565,247.55145238276145,-101.1098687860258,-0.013433581843984483,3.5752957823201648
2014-07-21,2014-07-30,2014-07-31,7684.2,7791.4,7700,0.1407284145976151,0.1316170444271232,143.84761589977415,97.42859314356247,46.41902275621169,0.006040840003671389,1.3950704042060336
2014-07-28,2014-08-06,2014-08-07,7748.7,7672.05,7750,0.1378242962744654,0.15021556150057527,142.21054032585653,87.2955913227745,54.91494900308203,0.007086988656559426,-0.9891981880831624
2014-08-05,2014-08-13,2014-08-14,7746.55,7739.55,7750,0.14759615529264036,0.13270936435119482,152.13563808266872,52.10881888147151,100.02681920119721,0.012912434464529011,-0.09036280666877561
2014-08-11,2014-08-20,2014-08-21,7625.95,7875.3,7650,0.13719479333659082,0.12938008596653897,139.52236670147204,227.12635292477353,-87.60398622330149,-0.011487616129570938,3.269756554921033
2014-08-19,2014-08-27,2014-08-28,7897.5,7936.05,7900,0.12862725967819352,0.12256794505861682,135.26025645047866,57.87271418529326,77.3875422651854,0.009798992372926293,0.4881291547958133
2014-08-25,2014-09-03,2014-09-04,7906.3,8114.6,7900,0.1244830862792387,0.09897892488943269,131.63697354683973,216.4808806375604,-84.84390709072068,-0.01073117730047186,2.634607844377279
2014-09-02,2014-09-10,2014-09-11,8083.05,8094.1,8100,0.11798561954848494,0.08338180475440575,126.87674780651605,34.07801632009341,92.79873148642264,0.011480657856430758,0.1367058226783291
2014-09-09,2014-09-17,2014-09-18,8152.95,7975.5,8150,0.08928975669385684,0.09074105671332902,97.60474937673462,172.56173630316553,-74.95698692643091,-0.009193848475267347,-2.176512795981822
2014-09-16,2014-09-24,2014-09-25,7932.9,8002.4,7950,0.09579352773815736,0.1225571687490652,101.12526180039231,67.07845353389621,34.0468082664961,0.004291848916095766,0.876098274275483
2014-09-22,2014-09-30,2014-10-01,8146.3,7964.8,8150,0.10660798100412389,0.12669879720112576,115.68571373755549,183.34236252917327,-67.65664879161778,-0.008305199758371013,-2.2280053521230525
2014-09-25,2014-10-08,2014-10-09,7911.85,7842.7,7900,0.12937768770751354,0.12835964191646562,137.36539610223826,68.8995790794404,68.46581702279786,0.008653578748686826,-0.874005447524917
2014-10-01,2014-10-14,2014-10-16,7945.55,7864.0,7950,0.12406440494913958,0.13936586103989085,131.19989019038894,91.70900075223221,39.49088943815673,0.004970189532273629,-1.0263606672917591
2014-10-13,2014-10-22,2014-10-23,7884.25,7995.9,7900,0.14080470779115042,0.15084944419901658,147.6626053404425,104.73283748741233,42.92976785303017,0.005445003374199216,1.4161144053016939
2014-10-20,2014-10-29,2014-10-30,7879.4,8090.45,7900,0.15435880809431196,0.12962202441037893,161.919420192914,192.39091051228297,-30.471490319368968,-0.00386723485536576,2.6785034393481677
2014-10-23,2014-11-03,2014-11-05,8014.55,8324.15,8000,0.13769616217401354,0.13749390116994187,148.1801548342919,326.0545911759009,-177.874436341609,-0.02219393931557093,3.8629742156452984
2014-10-31,2014-11-12,2014-11-13,8322.2,8383.3,8300,0.13842235888257196,0.12526877580524506,155.54997211486534,91.32459935876614,64.2253727560992,0.007717355117168441,0.7341808656364801
2014-11-11,2014-11-19,2014-11-20,8362.65,8382.3,8350,0.12618558848736441,0.08814801692271595,141.70099897451655,46.72432074986682,94.97667822464973,0.011357246593442238,0.23497336370648103
2014-11-18,2014-11-26,2014-11-27,8425.9,8475.75,8450,0.10515998960849061,0.09091230518749754,118.1699517095426,44.842615719579044,73.32733598996356,0.008702611707943788,0.5916281940208101
2014-11-25,2014-12-03,2014-12-04,8463.1,8537.65,8450,0.09082273634530472,0.07122197356826,104.34368808547424,89.90020805033964,14.443480035134598,0.001706641778442249,0.8808828916118117
2014-12-02,2014-12-10,2014-12-11,8524.7,8355.65,8500,0.09319410182559272,0.09534857237880101,109.93132333730591,142.4004208284877,-32.4690974911818,-0.003808825822748225,-1.9830609874834426
2014-12-09,2014-12-17,2014-12-18,8340.7,8029.8,8350,0.09545882344785953,0.11525437898488405,105.91182399588251,318.21214232467617,-212.30031832879365,-0.02545353727250634,-3.7275048856810655
2014-12-15,2014-12-23,2014-12-24,8219.6,8267.0,8200,0.10027963471576232,0.13644262793794745,112.58981128531013,81.32715662315604,31.26265466215409,0.0038034277412713623,0.576670397586243
2014-12-22,2014-12-31,2015-01-01,8324.0,8282.7,8300,0.1374650817584007,0.13543817441929432,154.80465930167702,57.754892107757314,97.0497671939197,0.011659030177068682,-0.4961556943776979
2014-12-30,2015-01-07,2015-01-08,8248.25,8102.1,8250,0.13400353788635366,0.17286238423083605,147.18440903760347,149.70448802658615,-2.520078988982675,-0.0003055289290434547,-1.771891007183335
2015-01-06,2015-01-14,2015-01-15,8127.35,8277.55,8150,0.17618627984546656,0.17815869129816045,190.6559666958833,136.17677340214686,54.479193293736444,0.006703192712721421,1.8480808627658218
2015-01-13,2015-01-21,2015-01-22,8299.4,8729.5,8300,0.17786652728800842,0.17990746216929632,196.4243089236852,431.47610817349414,-235.05179924980894,-0.02832154122584873,5.182302335108568
2015-01-19,2015-01-28,2015-01-29,8550.7,8914.3,8550,0.17683325219100493,0.17124025188372768,201.2438172284119,366.33764957304265,-165.09383234463075,-0.01930763941485852,4.252283438782767
2015-01-27,2015-02-04,2015-02-05,8910.5,8723.7,8900,0.17092158623243298,0.18289732523393087,203.24284465122037,177.7523628884415,25.49048176277887,0.002860724062934613,-2.0964031199147026
2015-02-03,2015-02-11,2015-02-12,8756.55,8627.4,8750,0.1823186608258023,0.14930398059363717,212.7064906707319,125.58611540987545,87.12037526085646,0.00994916665363145,-1.474895935042908
2015-02-09,2015-02-18,2015-02-19,8526.35,8869.1,8550,0.14883524263346123,0.12889739409633844,169.01119349436385,321.1355518070086,-152.12435831264474,-0.017841674141062087,4.019891278214005
2015-02-16,2015-02-25,2015-02-26,8809.35,8767.25,8800,0.12772031706018883,0.11947304755381308,150.6401533393764,58.31110895930851,92.3290443800679,0.01048080101029791,-0.4779013207557914
2015-02-25,2015-03-04,2015-03-05,8767.25,8922.65,8750,0.11947304755381308,0.12989411615821722,141.34728887911842,175.10670792307792,-33.7594190439595,-0.0038506280810926457,1.7725056317545285
2015-03-02,2015-03-11,2015-03-12,8956.75,8699.95,8950,0.12695779716301542,0.13703636827739485,152.01781042636867,247.94228665329555,-95.92447622692688,-0.01070974139357768,-2.867111396432853
2015-03-10,2015-03-18,2015-03-19,8712.05,8685.9,8700,0.1485713018353629,0.14373581045002104,173.16113729558765,63.52611119562698,109.63502609996067,0.012584297163120125,-0.30015897521248336
2015-03-17,2015-03-25,2015-03-26,8723.3,8530.8,8700,0.14316601599634937,0.1388396529713298,168.4484161005521,167.82763309074372,0.6207830098083775,7.116378088663436e-05,-2.20673369023191
2015-03-23,2015-03-31,2015-04-01,8550.9,8491.0,8550,0.14160109106313076,0.15099185091569992,161.32226143829394,80.00395549640734,81.31830594188659,0.009509911932297957,-0.7005110573156004
2015-03-27,2015-04-08,2015-04-09,8341.4,8714.4,8350,0.1545317658114576,0.15850281234071129,171.40672546190126,366.38816471886093,-194.98143925695967,-0.023375145569923476,4.471671422063439
